Type,DSI Name,Citation impact
Computer-driven,"Columbia Univ, Data Sci Inst",60.306922569444446
Computer-driven,"Univ Elect Sci & Technol China, Big Data Res Ctr",60.06948006042296
Computer-driven,"City Univ Hong Kong, Sch Data Sci",58.927829434697856
Computer-driven,"Noroff Univ Coll, Dept Appl Data Sci",58.81534761904762
Computer-driven,"Beihang Univ, Beijing Adv Innovat Ctr Big Data & Brain Comp",57.9733609929078
Computer-driven,"Univ Rochester, Goergen Inst Data Sci",57.531725
Computer-driven,"Univ Technol Sydney, Global Big Data Technol Ctr",57.508839153439155
Computer-driven,Shenzhen Res Inst Big Data,57.10518605577689
Computer-driven,"Chinese Univ Hong Kong, Shenzhen Res Inst Big Data",57.05024326923077
Computer-driven,"Chinese Acad Sci, Res Ctr Fictitious Econ & Data Sci",56.21787168141593
Computer-driven,"Shanxi Univ, Inst Big Data Sci & Ind",56.01077108433735
Computer-driven,"Chongqing Univ, Sch Big Data & Software Engn",55.24845140186916
Computer-driven,"Graz Univ Technol, Inst Interact Syst & Data Sci",55.09704489795919
Computer-driven,"Harbin Inst Technol, Inst Mat Genome & Big Data",54.1999432
Computer-driven,"Shenzhen Univ, Natl Engn Lab Big Data Syst Comp Technol",54.16612808988764
Computer-driven,Key Lab Oceanog Big Data Min & Applicat Zhejiang,53.583641428571426
Computer-driven,"Shenzhen Univ, Inst Big Data Intelligent Management & Decis",53.07516721311475
Computer-driven,"Shanghai Jiao Tong Univ, Shanghai Inst Adv Commun & Data Sci",52.69293076923077
Computer-driven,Guangdong Key Lab Big Data Anal & Proc,52.41808888888889
Computer-driven,Jheronimus Acad Data Sci,52.19919827586207
Computer-driven,"Univ Sci & Technol China, Sch Data Sci",51.75297386363636
Computer-driven,"Chinese Acad Sci, Key Lab Big Data Min & Knowledge Management",51.607884810126585
Computer-driven,"Zhejiang Lab, Res Ctr Healthcare Data Sci",51.590725
Computer-driven,"Nanjing Univ Posts & Telecommun, Jiangsu Key Lab Big Data Secur & Intelligent Proc",51.36391340782123
Computer-driven,"Fudan Univ, Sch Data Sci",50.59090424710425
Computer-driven,"Beijing Technol & Business Univ, Beijing Key Lab Big Data Technol Food Safety",50.29461419354839
Computer-driven,"Asia Univ, Big Data Res Ctr",50.284726229508195
Computer-driven,"Fujian Univ Technol, Fujian Prov Key Lab Big Data Min & Applicat",50.254990740740745
Computer-driven,"Beijing Jiaotong Univ, Key Lab Transport Ind Big Data Applicat Technol C",49.58807350993377
Computer-driven,"Case Western Reserve Univ, Dept Comp & Data Sci",49.15568936170213
Computer-driven,"Natl Univ Singapore, Inst Data Sci",48.846909333333336
Computer-driven,"Univ Virginia, Sch Data Sci",48.773217073170734
Computer-driven,"Guizhou Univ, State Key Lab Publ Big Data",48.51432834645669
Computer-driven,Beijing Adv Innovat Ctr Big Data Based Precis Med,47.99042077922078
